Date,Depth_to_Groundwater_SAL,Depth_to_Groundwater_CoS,Depth_to_Groundwater_LT2
17/05/2011,-5.92,-6.22,-12.97
18/05/2011,-5.93,-6.27,-12.93
19/05/2011,-5.95,-6.32,-12.92
20/05/2011,-5.95,-6.39,-12.93
21/05/2011,-5.95,-6.49,-12.92
22/05/2011,-5.97,-6.62,-12.91
23/05/2011,-6.01,-6.7,-12.93
24/05/2011,-6.03,-6.7,-12.94
25/05/2011,-6.05,-6.72,-12.94
26/05/2011,-6.09,-6.72,-12.93
27/05/2011,-6.1,-6.79,-12.92
28/05/2011,-6.08,-6.81,-12.9
29/05/2011,-6.12,-6.86,-12.95
30/05/2011,-6.12,-6.95,-12.95
31/05/2011,-6.11,-7.01,-12.95
01/06/2011,-6.13,-6.68,-12.94
02/06/2011,-6.08,-6.99,-12.97
03/06/2011,-6.07,-6.97,-12.96
04/06/2011,-6.11,-6.98,-12.95
05/06/2011,-6.09,-6.98,-12.92
06/06/2011,-6.03,-6.89,-12.91
07/06/2011,-6.04,-6.72,-12.89
08/06/2011,-6.01,-6.77,-12.9
09/06/2011,-5.99,-6.76,-12.93
10/06/2011,-5.97,-6.79,-12.96
11/06/2011,-5.97,-6.82,-12.95
12/06/2011,-5.92,-6.85,-12.95
13/06/2011,-5.93,-6.8,-12.94
14/06/2011,-6.0,-6.84,-12.93
15/06/2011,-6.01,-6.97,-12.94
16/06/2011,-6.03,-7.06,-12.94
17/06/2011,-6.06,-7.17,-12.95
18/06/2011,-6.07,-7.22,-12.91
19/06/2011,-6.02,-7.2,-12.89
20/06/2011,-6.09,-7.14,-12.93
21/06/2011,-6.11,-7.18,-12.95
22/06/2011,-6.13,-7.25,-12.95
23/06/2011,-6.11,-7.13,-12.93
24/06/2011,-6.14,-7.27,-12.93
25/06/2011,-6.16,-7.37,-12.96
26/06/2011,-6.16,-7.41,-12.99
27/06/2011,-6.17,-7.41,-12.98
28/06/2011,-6.18,-7.43,-12.96
29/06/2011,-6.19,-7.48,-12.95
30/06/2011,-6.17,-7.31,-12.96
01/07/2011,-6.19,-7.24,-12.97
02/07/2011,-6.19,-7.38,-12.97
03/07/2011,-6.14,-7.37,-12.99
04/07/2011,-6.17,-7.4,-13.01
05/07/2011,-6.17,-7.41,-13.0
06/07/2011,-6.18,-7.46,-13.01
07/07/2011,-6.18,-7.58,-13.04
08/07/2011,-6.18,-7.68,-13.05
09/07/2011,-6.24,-7.79,-13.07
10/07/2011,-6.22,-7.86,-13.09
11/07/2011,-6.22,-7.86,-13.08
12/07/2011,-6.28,-7.94,-13.09
13/07/2011,-6.22,-8.02,-13.07
14/07/2011,-6.13,-8.05,-13.09
15/07/2011,-6.14,-8.11,-13.14
16/07/2011,-6.12,-8.16,-13.15
17/07/2011,-6.08,-8.02,-13.11
18/07/2011,-6.08,-8.14,-13.09
19/07/2011,-6.12,-8.15,-13.09
20/07/2011,-6.08,-8.12,-13.08
