Date,Depth_to_Groundwater_Pozzo_1,Depth_to_Groundwater_Pozzo_2,Depth_to_Groundwater_Pozzo_3,Depth_to_Groundwater_Pozzo_4,Depth_to_Groundwater_Pozzo_5,Depth_to_Groundwater_Pozzo_6,Depth_to_Groundwater_Pozzo_7,Depth_to_Groundwater_Pozzo_8,Depth_to_Groundwater_Pozzo_9
08/01/2019,-36.88,-99.99,-114.8,-101.44,-103.73,-93.55,-93.4,-99.09,-92.98
09/01/2019,-37.65,-99.99,-114.8,-101.36,-104.12,-93.56,-93.9,-99.07,-92.98
10/01/2019,-37.65,-100.6,-114.8,-101.13,-104.18,-93.62,-97.43,-99.02,-92.98
11/01/2019,-37.65,-100.6,-114.88,-101.13,-104.18,-93.62,-97.43,-99.02,-93.54
12/01/2019,-37.65,-100.6,-114.89,-101.13,-104.18,-93.62,-97.43,-99.02,-93.54
13/01/2019,-37.65,-100.6,-114.89,-101.13,-104.18,-93.62,-97.43,-99.02,-93.41
14/01/2019,-38.22,-100.6,-114.89,-101.13,-104.15,-93.62,-97.43,-99.02,-93.39
15/01/2019,-37.34,-100.6,-114.89,-101.13,-104.12,-93.62,-97.43,-99.02,-93.39
16/01/2019,-36.71,-100.27,-114.51,-100.98,-104.12,-93.5,-97.43,-98.89,-93.13
17/01/2019,-36.16,-99.94,-114.45,-100.83,-104.12,-93.38,-97.43,-98.76,-93.01
18/01/2019,-35.87,-99.6,-114.12,-100.67,-104.14,-93.26,-97.43,-98.62,-92.71
19/01/2019,-35.6,-99.26,-114.12,-100.52,-104.14,-93.14,-97.42,-98.49,-92.71
20/01/2019,-35.45,-98.93,-113.99,-100.36,-104.14,-93.01,-97.42,-98.35,-92.71
21/01/2019,-35.45,-98.93,-113.93,-100.36,-104.13,-93.01,-97.42,-98.35,-92.62
03/02/2019,-34.43,-100.38,-114.1,-101.1,-104.22,-93.59,-97.42,-98.94,-91.54
04/02/2019,-34.21,-100.31,-114.25,-101.1,-104.22,-93.59,-97.42,-98.94,-91.54
05/02/2019,-33.71,-100.31,-114.25,-101.1,-104.22,-93.59,-97.42,-98.94,-91.54
06/02/2019,-33.39,-100.31,-114.12,-101.1,-104.22,-93.59,-97.42,-98.66,-91.37
07/02/2019,-32.82,-100.31,-114.12,-101.17,-104.22,-93.59,-97.4,-98.66,-91.37
08/02/2019,-31.09,-100.38,-114.06,-101.17,-104.25,-93.59,-97.37,-98.66,-91.37
09/02/2019,-31.09,-100.38,-114.06,-101.17,-104.25,-93.59,-97.33,-98.66,-93.2
10/02/2019,-31.09,-100.38,-114.12,-101.17,-104.25,-93.59,-97.35,-98.66,-93.2
11/02/2019,-31.09,-100.38,-114.27,-101.17,-104.25,-93.59,-97.35,-98.66,-93.2
12/02/2019,-32.22,-100.38,-114.28,-101.17,-104.29,-93.67,-97.43,-98.66,-92.05
13/02/2019,-33.11,-100.53,-114.28,-101.17,-104.29,-93.67,-97.43,-98.69,-92.04
24/02/2019,-35.97,-101.42,-115.63,-101.61,-104.22,-93.41,-94.95,-98.54,-91.05
25/02/2019,-36.15,-101.23,-115.57,-101.61,-104.22,-93.41,-94.95,-98.54,-90.97
26/02/2019,-36.2,-101.06,-115.57,-101.61,-104.22,-93.41,-94.95,-98.54,-91.05
27/02/2019,-36.2,-101.03,-115.55,-101.61,-104.22,-93.41,-96.93,-98.54,-91.26
28/02/2019,-36.2,-101.0,-115.55,-101.61,-104.23,-93.41,-96.93,-98.54,-91.26
13/03/2019,-36.69,-101.0,-112.44,-102.18,-104.24,-94.39,-96.44,-98.19,-90.2
14/03/2019,-36.95,-101.0,-114.39,-102.18,-104.24,-94.39,-96.44,-98.19,-89.13
29/03/2019,-39.15,-101.0,-114.31,-102.04,-104.25,-97.18,-93.91,-98.84,-91.86
30/03/2019,-39.22,-101.0,-114.24,-102.04,-104.25,-97.35,-93.91,-98.84,-91.86
31/03/2019,-39.22,-101.0,-114.24,-102.04,-104.25,-97.44,-93.91,-98.84,-91.86
01/04/2019,-39.28,-100.63,-114.24,-102.04,-104.25,-97.44,-96.77,-98.84,-91.86
02/04/2019,-39.43,-100.5,-114.38,-102.04,-104.25,-97.44,-97.37,-98.84,-91.71
03/04/2019,-39.59,-100.5,-114.38,-102.04,-104.25,-97.44,-97.37,-98.84,-91.71
04/04/2019,-39.72,-100.5,-114.38,-102.04,-104.25,-97.44,-97.37,-97.9,-91.71
05/04/2019,-39.72,-100.62,-114.38,-102.05,-104.29,-97.7,-97.21,-97.9,-91.71
06/04/2019,-39.72,-100.62,-114.38,-102.05,-104.29,-97.7,-97.01,-97.9,-92.24
07/04/2019,-39.72,-100.62,-114.2,-102.05,-104.29,-97.7,-96.85,-97.9,-92.24
08/04/2019,-39.72,-100.62,-114.06,-102.05,-104.29,-97.7,-96.85,-97.9,-92.24
09/04/2019,-40.44,-100.62,-113.94,-102.05,-104.29,-97.7,-96.84,-97.9,-91.87
