Date,Depth_to_Groundwater_P24,Depth_to_Groundwater_P25
01/01/2009,-31.96,-31.14
02/01/2009,-32.03,-31.11
03/01/2009,-31.97,-31.07
04/01/2009,-31.91,-31.05
05/01/2009,-31.94,-31.01
06/01/2009,-31.89,-31.0
07/01/2009,-31.91,-30.96
08/01/2009,-31.83,-30.94
09/01/2009,-31.8,-30.93
10/01/2009,-31.76,-30.87
11/01/2009,-31.7,-30.83
12/01/2009,-31.57,-30.74
13/01/2009,-31.54,-30.63
14/01/2009,-31.44,-30.55
15/01/2009,-31.26,-30.57
16/01/2009,-31.5,-30.61
17/01/2009,-31.61,-30.68
18/01/2009,-31.15,-30.41
19/01/2009,-30.95,-30.28
20/01/2009,-30.93,-30.21
21/01/2009,-30.89,-30.18
22/01/2009,-30.81,-30.15
23/01/2009,-30.75,-30.08
24/01/2009,-30.71,-29.97
25/01/2009,-30.72,-30.04
26/01/2009,-30.51,-29.97
27/01/2009,-30.57,-29.96
28/01/2009,-30.52,-29.96
29/01/2009,-30.52,-29.93
30/01/2009,-30.49,-29.93
31/01/2009,-30.49,-29.86
01/02/2009,-30.29,-29.74
02/02/2009,-30.32,-29.71
03/02/2009,-30.4,-29.71
04/02/2009,-30.21,-29.65
05/02/2009,-30.28,-29.67
06/02/2009,-30.15,-29.54
07/02/2009,-30.11,-29.5
08/02/2009,-30.01,-29.48
09/02/2009,-30.05,-29.55
10/02/2009,-30.02,-29.46
11/02/2009,-30.1,-29.46
12/02/2009,-29.97,-29.45
13/02/2009,-30.05,-29.45
14/02/2009,-30.02,-29.43
15/02/2009,-29.97,-29.44
16/02/2009,-29.94,-29.4
17/02/2009,-29.77,-29.24
18/02/2009,-29.79,-29.22
19/02/2009,-29.75,-29.22
20/02/2009,-29.77,-29.21
21/02/2009,-29.79,-29.18
22/02/2009,-29.64,-29.11
23/02/2009,-29.58,-29.02
24/02/2009,-29.56,-29.01
25/02/2009,-29.56,-29.03
26/02/2009,-29.52,-28.98
27/02/2009,-29.53,-28.95
28/02/2009,-29.56,-28.99
01/03/2009,-29.42,-28.91
02/03/2009,-29.42,-28.85
03/03/2009,-29.42,-28.85
04/03/2009,-29.21,-28.71
05/03/2009,-29.22,-28.58
06/03/2009,-29.26,-28.65
07/03/2009,-29.36,-28.76
08/03/2009,-29.3,-28.77
09/03/2009,-29.22,-28.71
10/03/2009,-29.24,-28.71
11/03/2009,-29.22,-28.68
12/03/2009,-29.28,-28.72
13/03/2009,-29.23,-28.68
14/03/2009,-29.2,-28.65
15/03/2009,-29.07,-28.57
16/03/2009,-29.16,-28.61
17/03/2009,-29.15,-28.61
18/03/2009,-29.12,-28.54
19/03/2009,-28.98,-28.43
20/03/2009,-28.95,-28.4
21/03/2009,-28.89,-28.36
22/03/2009,-28.85,-28.32
23/03/2009,-28.8,-28.27
24/03/2009,-28.69,-28.15
25/03/2009,-28.75,-28.21
26/03/2009,-28.77,-28.24
27/03/2009,-28.75,-28.24
28/03/2009,-28.7,-28.17
29/03/2009,-28.5,-28.03
30/03/2009,-28.58,-28.12
31/03/2009,-28.58,-28.09
01/04/2009,-28.52,-28.03
02/04/2009,-28.61,-28.1
03/04/2009,-28.6,-28.09
04/04/2009,-28.59,-28.08
05/04/2009,-28.52,-28.03
06/04/2009,-28.47,-27.98
07/04/2009,-28.43,-27.97
08/04/2009,-28.47,-27.98
09/04/2009,-28.46,-27.97
10/04/2009,-28.41,-27.9
11/04/2009,-28.33,-27.86
12/04/2009,-28.26,-27.76
13/04/2009,-27.89,-27.58
14/04/2009,-28.08,-27.65
15/04/2009,-28.29,-27.77
16/04/2009,-28.26,-27.76
17/04/2009,-28.21,-27.72
18/04/2009,-28.27,-27.74
19/04/2009,-28.08,-27.62
20/04/2009,-28.06,-27.59
21/04/2009,-28.07,-27.56
22/04/2009,-28.03,-27.52
23/04/2009,-28.1,-27.57
24/04/2009,-28.12,-27.6
25/04/2009,-28.1,-27.59
26/04/2009,-28.02,-27.53
27/04/2009,-27.91,-27.38
28/04/2009,-27.91,-27.39
29/04/2009,-27.94,-27.4
30/04/2009,-27.86,-27.37
01/05/2009,-27.89,-27.39
02/05/2009,-27.93,-27.42
03/05/2009,-27.82,-27.38
04/05/2009,-27.85,-27.34
05/05/2009,-27.88,-27.36
06/05/2009,-27.92,-27.39
07/05/2009,-27.98,-27.42
08/05/2009,-27.94,-27.41
09/05/2009,-28.01,-27.45
10/05/2009,-27.98,-27.43
11/05/2009,-27.95,-27.41
12/05/2009,-28.03,-27.44
13/05/2009,-28.05,-27.45
14/05/2009,-28.02,-27.43
15/05/2009,-27.98,-27.39
16/05/2009,-27.99,-27.39
17/05/2009,-28.01,-27.46
18/05/2009,-28.07,-27.48
19/05/2009,-28.12,-27.53
20/05/2009,-28.16,-27.56
21/05/2009,-28.2,-27.58
22/05/2009,-28.19,-27.57
23/05/2009,-28.26,-27.61
24/05/2009,-28.21,-27.62
25/05/2009,-28.25,-27.62
26/05/2009,-28.28,-27.63
27/05/2009,-28.35,-27.68
28/05/2009,-28.03,-27.57
29/05/2009,-28.12,-27.53
30/05/2009,-28.01,-27.47
31/05/2009,-27.94,-27.41
01/06/2009,-27.71,-27.21
02/06/2009,-27.95,-27.28
03/06/2009,-27.99,-27.37
04/06/2009,-28.0,-27.38
05/06/2009,-28.04,-27.41
06/06/2009,-27.97,-27.36
07/06/2009,-27.89,-27.33
08/06/2009,-27.95,-27.34
09/06/2009,-28.09,-27.44
10/06/2009,-28.13,-27.48
11/06/2009,-28.19,-27.53
12/06/2009,-28.24,-27.55
13/06/2009,-28.33,-27.62
14/06/2009,-28.39,-27.69
15/06/2009,-28.38,-27.7
16/06/2009,-28.45,-27.73
17/06/2009,-28.47,-27.77
18/06/2009,-28.43,-27.73
19/06/2009,-28.42,-27.72
20/06/2009,-28.42,-27.69
21/06/2009,-28.04,-27.53
22/06/2009,-28.29,-27.59
23/06/2009,-28.3,-27.59
24/06/2009,-28.25,-27.57
25/06/2009,-28.36,-27.65
26/06/2009,-28.37,-27.68
27/06/2009,-28.09,-27.52
28/06/2009,-27.75,-27.32
29/06/2009,-28.01,-27.44
30/06/2009,-28.12,-27.44
01/07/2009,-28.21,-27.5
02/07/2009,-28.18,-27.53
03/07/2009,-27.96,-27.4
04/07/2009,-27.99,-27.39
05/07/2009,-27.82,-27.32
06/07/2009,-27.69,-27.24
07/07/2009,-28.0,-27.34
08/07/2009,-28.08,-27.42
09/07/2009,-27.81,-27.36
10/07/2009,-28.06,-27.43
11/07/2009,-28.11,-27.48
12/07/2009,-28.11,-27.5
13/07/2009,-28.19,-27.54
14/07/2009,-28.37,-27.66
15/07/2009,-28.44,-27.72
16/07/2009,-28.51,-27.79
17/07/2009,-28.54,-27.81
18/07/2009,-28.44,-27.77
19/07/2009,-28.22,-27.67
20/07/2009,-28.32,-27.76
21/07/2009,-28.56,-27.85
22/07/2009,-28.57,-27.89
23/07/2009,-28.72,-27.96
24/07/2009,-28.84,-28.03
25/07/2009,-28.92,-28.11
26/07/2009,-28.76,-28.07
27/07/2009,-28.77,-28.05
28/07/2009,-28.9,-28.12
29/07/2009,-29.01,-28.19
30/07/2009,-28.97,-28.21
31/07/2009,-29.07,-28.26
01/08/2009,-29.12,-28.3
02/08/2009,-29.01,-28.29
03/08/2009,-28.88,-28.23
04/08/2009,-28.3,-28.0
05/08/2009,-28.54,-28.01
06/08/2009,-28.6,-27.97
07/08/2009,-28.66,-28.02
08/08/2009,-28.71,-28.03
09/08/2009,-28.48,-28.03
10/08/2009,-28.39,-27.96
11/08/2009,-28.31,-27.9
12/08/2009,-28.4,-27.92
13/08/2009,-28.6,-28.0
14/08/2009,-28.63,-28.04
15/08/2009,-28.47,-28.03
16/08/2009,-28.51,-28.01
17/08/2009,-28.64,-28.06
18/08/2009,-28.77,-28.17
19/08/2009,-28.88,-28.21
20/08/2009,-29.04,-28.25
21/08/2009,-29.15,-28.32
22/08/2009,-29.19,-28.36
23/08/2009,-29.26,-28.42
24/08/2009,-29.29,-28.43
25/08/2009,-29.19,-28.38
26/08/2009,-29.19,-28.41
27/08/2009,-29.17,-28.41
28/08/2009,-29.08,-28.35
29/08/2009,-29.02,-28.32
30/08/2009,-28.88,-28.3
31/08/2009,-29.04,-28.32
01/09/2009,-29.18,-28.42
02/09/2009,-29.2,-28.43
03/09/2009,-29.15,-28.42
04/09/2009,-29.17,-28.42
05/09/2009,-29.18,-28.44
06/09/2009,-29.11,-28.44
07/09/2009,-29.05,-28.41
08/09/2009,-29.2,-28.45
09/09/2009,-29.19,-28.45
10/09/2009,-29.22,-28.47
11/09/2009,-29.19,-28.45
12/09/2009,-29.2,-28.45
13/09/2009,-29.0,-28.39
14/09/2009,-29.13,-28.39
15/09/2009,-29.07,-28.43
16/09/2009,-28.86,-28.33
17/09/2009,-28.81,-28.32
18/09/2009,-28.83,-28.34
19/09/2009,-29.02,-28.38
20/09/2009,-28.98,-28.42
21/09/2009,-28.73,-28.3
22/09/2009,-28.9,-28.35
23/09/2009,-28.97,-28.38
24/09/2009,-28.99,-28.37
25/09/2009,-29.27,-28.48
26/09/2009,-29.34,-28.56
27/09/2009,-29.3,-28.57
28/09/2009,-29.32,-28.58
29/09/2009,-29.34,-28.6
30/09/2009,-29.36,-28.61
01/10/2009,-29.33,-28.61
02/10/2009,-29.35,-28.57
03/10/2009,-29.44,-28.66
04/10/2009,-29.37,-28.66
05/10/2009,-29.24,-28.67
06/10/2009,-29.46,-28.74
07/10/2009,-29.48,-28.74
08/10/2009,-29.51,-28.75
09/10/2009,-29.52,-28.76
10/10/2009,-29.43,-28.72
11/10/2009,-29.28,-28.66
12/10/2009,-29.31,-28.61
13/10/2009,-29.32,-28.7
14/10/2009,-29.28,-28.69
15/10/2009,-29.31,-28.67
16/10/2009,-29.4,-28.73
17/10/2009,-29.42,-28.73
18/10/2009,-29.38,-28.71
19/10/2009,-29.37,-28.74
20/10/2009,-29.46,-28.75
21/10/2009,-29.37,-28.73
22/10/2009,-29.24,-28.65
23/10/2009,-29.36,-28.67
24/10/2009,-29.56,-28.77
25/10/2009,-29.7,-28.9
26/10/2009,-29.61,-28.9
27/10/2009,-29.69,-28.96
28/10/2009,-29.68,-28.94
29/10/2009,-29.72,-28.98
30/10/2009,-29.76,-29.01
31/10/2009,-29.79,-29.03
01/11/2009,-29.66,-28.98
02/11/2009,-29.6,-28.89
03/11/2009,-29.59,-28.82
04/11/2009,-29.68,-28.93
05/11/2009,-29.76,-28.99
06/11/2009,-29.69,-28.98
07/11/2009,-29.75,-29.03
08/11/2009,-29.7,-28.97
09/11/2009,-29.61,-28.99
10/11/2009,-29.62,-28.98
11/11/2009,-29.71,-29.04
12/11/2009,-29.74,-29.1
13/11/2009,-29.67,-29.08
14/11/2009,-29.65,-29.03
15/11/2009,-29.57,-28.97
16/11/2009,-29.59,-28.96
17/11/2009,-29.61,-28.98
18/11/2009,-29.7,-29.05
19/11/2009,-29.73,-29.07
20/11/2009,-29.83,-29.12
21/11/2009,-29.84,-29.11
22/11/2009,-29.81,-29.09
23/11/2009,-29.88,-29.11
24/11/2009,-29.9,-29.13
