Date,Rainfall_S_Piero,Rainfall_Mangona,Rainfall_S_Agata,Rainfall_Cavallina,Rainfall_Le_Croci,Lake_Level,Flow_Rate
01/01/2004,0.0,0.0,0.4,0.0,0.0,251.14,0.5
02/01/2004,0.0,0.0,0.0,0.0,0.0,251.21,0.5
03/01/2004,0.0,0.0,0.0,0.0,0.0,251.28,0.5
04/01/2004,0.0,0.0,0.0,0.0,0.0,251.35,0.5
05/01/2004,0.2,0.0,0.0,0.0,0.0,251.37,0.5
06/01/2004,0.0,0.0,0.0,0.0,0.0,251.42,0.5
07/01/2004,0.0,0.0,0.0,0.0,0.0,251.43,0.5
08/01/2004,0.0,0.8,0.0,0.0,0.0,251.45,0.5
09/01/2004,4.6,5.8,3.8,5.6,7.8,251.49,0.5
10/01/2004,0.0,0.0,0.0,0.0,0.0,251.52,0.5
11/01/2004,0.0,0.0,0.0,0.0,0.0,251.53,0.5
12/01/2004,1.8,1.6,1.2,3.4,3.6,251.55,0.5
13/01/2004,0.4,2.6,0.8,1.2,0.6,251.58,0.5
14/01/2004,0.0,0.2,0.0,0.0,0.0,251.59,0.5
15/01/2004,7.0,13.0,10.0,8.8,6.0,251.64,0.5
16/01/2004,3.2,11.4,4.6,5.6,4.4,251.7,0.5
17/01/2004,19.6,49.6,20.2,36.4,18.2,251.8,21.6
18/01/2004,27.0,40.2,26.6,25.2,24.8,252.32,32.8
19/01/2004,0.0,0.0,0.0,0.2,0.0,252.21,37.0
20/01/2004,0.2,0.0,0.0,0.0,0.0,252.05,19.0
21/01/2004,0.0,0.0,0.0,0.0,0.0,251.98,11.5
22/01/2004,0.0,0.0,0.0,0.0,0.0,251.91,8.5
23/01/2004,0.0,0.0,0.0,0.0,0.0,251.86,7.0
24/01/2004,0.0,0.0,0.0,0.0,0.0,251.82,6.0
25/01/2004,0.2,2.2,0.6,1.2,1.8,251.81,6.0
26/01/2004,0.6,0.0,0.2,0.2,0.4,251.78,5.5
27/01/2004,8.4,6.8,7.8,8.8,7.6,251.77,5.15
28/01/2004,3.6,1.8,0.6,0.6,4.8,251.75,4.95
29/01/2004,0.0,0.0,0.0,0.0,0.2,251.72,5.0
30/01/2004,6.8,13.0,19.2,12.6,20.6,251.73,5.05
31/01/2004,5.8,0.2,0.0,5.4,4.2,251.71,5.0
01/02/2004,8.2,0.6,0.0,12.8,0.0,251.7,4.8
02/02/2004,0.0,0.2,0.0,1.6,0.0,251.7,4.6
