Date,Flow_Rate_Bugnano,Flow_Rate_Arbure,Flow_Rate_Ermicciolo,Flow_Rate_Galleria_Alta
26/01/2016,-0.327773153,-2.872341311,-5.035053763,-21.50494277
27/01/2016,-0.327773153,-2.872341311,-5.035053763,-21.50494277
28/01/2016,-0.327773153,-2.872341311,-5.035053763,-21.50494277
29/01/2016,-0.327773153,-2.872341311,-5.035053763,-21.50494277
30/01/2016,-0.327773153,-2.872341311,-5.035053763,-21.50494277
31/01/2016,-0.311384495,-2.728724246,-4.783301075,-20.42969563
01/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
02/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
03/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
04/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
05/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
06/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
07/02/2016,-0.331142857,-2.851134852,0.0,-23.41193103
09/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
10/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
11/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
12/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
13/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
14/02/2016,-0.331142857,-2.851134852,0.0,-23.41193103
15/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
16/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
17/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
18/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
19/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
20/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
21/02/2016,-0.331142857,-2.851134852,0.0,-23.41193103
22/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
23/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
24/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
25/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
26/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
27/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
28/02/2016,-0.331142857,-2.851134852,0.0,-23.41193103
29/02/2016,-0.348571429,-3.001194581,0.0,-24.64413793
01/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
02/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
03/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
04/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
05/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
06/03/2016,-0.321950993,-2.715915633,-4.894062903,-20.55872164
07/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
08/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
09/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
10/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
11/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
12/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
13/03/2016,-0.321950993,-2.715915633,-4.894062903,-20.55872164
14/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
15/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
16/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
17/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
18/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
19/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
20/03/2016,-0.321950993,-2.715915633,-4.894062903,-20.55872164
21/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
22/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
23/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
24/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
25/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
26/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
27/03/2016,-0.321950993,-2.715915633,-4.894062903,-20.55872164
28/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
29/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
30/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
31/03/2016,-0.338895782,-2.858858561,-5.151645161,-21.64075963
01/04/2016,-0.359876543,-2.960901235,-5.404655556,-21.63775556
02/04/2016,-0.359876543,-2.960901235,-5.404655556,-21.63775556
03/04/2016,-0.341882716,-2.812856173,-5.134422778,-20.55586778
04/04/2016,-0.359876543,-2.960901235,-5.404655556,-21.63775556
05/04/2016,-0.359876543,-2.960901235,-5.404655556,-21.63775556
06/04/2016,-0.359876543,-2.960901235,-5.404655556,-21.63775556
07/04/2016,-0.359876543,-2.960901235,-5.404655556,-21.63775556
08/04/2016,-0.359876543,-2.960901235,-5.404655556,-21.63775556
09/04/2016,-0.359876543,-2.960901235,-5.404655556,-21.63775556
10/04/2016,-0.341882716,-2.812856173,-5.134422778,-20.55586778
11/04/2016,-0.359876543,-2.960901235,-5.404655556,-21.63775556
12/04/2016,-0.359876543,-2.960901235,-5.404655556,-21.63775556
13/04/2016,-0.359876543,-2.960901235,-5.404655556,-21.63775556
14/04/2016,-0.359876543,-2.960901235,-5.404655556,-21.63775556
15/04/2016,-0.359876543,-2.960901235,-5.404655556,-21.63775556
16/04/2016,-0.359876543,-2.960901235,-5.404655556,-21.63775556
17/04/2016,-0.341882716,-2.812856173,-5.134422778,-20.55586778
18/04/2016,-0.359876543,-2.960901235,-5.404655556,-21.63775556
19/04/2016,-0.359876543,-2.960901235,-5.404655556,-21.63775556
20/04/2016,-0.359876543,-2.960901235,-5.404655556,-21.63775556
21/04/2016,-0.359876543,-2.960901235,-5.404655556,-21.63775556
22/04/2016,-0.359876543,-2.960901235,-5.404655556,-21.63775556
23/04/2016,-0.359876543,-2.960901235,-5.404655556,-21.63775556
