Date,Flow_Rate_Madonna_di_Canneto
13/03/2015,255.956525
14/03/2015,289.5455614
15/03/2015,289.9186152
16/03/2015,290.0828956
17/03/2015,290.6887766
18/03/2015,285.417723
19/03/2015,282.2443597
20/03/2015,283.4899183
21/03/2015,283.9203937
22/03/2015,284.3272472
23/03/2015,284.5879713
24/03/2015,284.1688699
25/03/2015,282.4008892
26/03/2015,275.9375031
27/03/2015,273.9198491
28/03/2015,273.939755
29/03/2015,273.6624202
30/03/2015,278.0547162
31/03/2015,276.8946238
01/04/2015,275.0547686
02/04/2015,273.9272583
03/04/2015,273.877707
04/04/2015,273.9227575
05/04/2015,273.5561175
06/04/2015,273.8512721
07/04/2015,273.6301476
08/04/2015,273.4032263
09/04/2015,261.8903418
10/04/2015,277.0050769
11/04/2015,276.7164202
12/04/2015,276.891222
13/04/2015,276.8846717
14/04/2015,274.9528374
15/04/2015,273.6325181
16/04/2015,273.6284511
17/04/2015,273.8138785
18/04/2015,273.90091
19/04/2015,274.1168694
20/04/2015,274.1432099
21/04/2015,273.9929837
22/04/2015,274.1490757
23/04/2015,274.2687412
24/04/2015,274.1271984
25/04/2015,274.2048533
26/04/2015,274.2385741
27/04/2015,274.2566337
28/04/2015,274.1222673
29/04/2015,274.3879241
30/04/2015,274.4474021
01/05/2015,274.5162938
02/05/2015,274.5120852
03/05/2015,274.5641337
04/05/2015,274.6890818
05/05/2015,274.6811391
06/05/2015,274.6076082
07/05/2015,274.6448834
08/05/2015,274.7271288
09/05/2015,274.739544
10/05/2015,274.8317938
11/05/2015,274.695843
12/05/2015,274.8093921
13/05/2015,274.7552104
14/05/2015,274.8586989
15/05/2015,274.7366045
16/05/2015,274.5748902
17/05/2015,274.5263104
18/05/2015,274.6188995
19/05/2015,275.1666475
20/05/2015,274.3945231
21/05/2015,274.4671458
22/05/2015,274.3421156
23/05/2015,274.1636538
24/05/2015,274.0833288
25/05/2015,273.9533986
26/05/2015,273.7992286
27/05/2015,273.7222372
28/05/2015,273.8666574
29/05/2015,273.6717064
30/05/2015,273.6753212
31/05/2015,273.7554743
01/06/2015,273.6683519
02/06/2015,273.6685172
03/06/2015,273.6884255
04/06/2015,273.6998817
05/06/2015,273.6648734
06/06/2015,273.741792
07/06/2015,273.8530483
08/06/2015,273.7789352
10/06/2015,274.1147766
18/06/2015,274.3496109
19/06/2015,273.9063992
30/09/2015,227.6734397
02/10/2015,224.941935
04/10/2015,227.1598042
05/10/2015,225.6479256
06/10/2015,223.0236674
13/04/2016,221.1757507
14/04/2016,221.1757507
15/04/2016,221.1757507
19/04/2016,221.1757507
20/04/2016,221.1757507
21/04/2016,221.1757507
22/04/2016,221.1757507
23/04/2016,240.5792804
24/04/2016,275.6702681
25/04/2016,275.9887048
26/04/2016,276.6314134
27/04/2016,276.1204195
28/04/2016,276.0351943
29/04/2016,275.9849944
30/04/2016,276.2298441
01/05/2016,276.9418741
02/05/2016,277.0451587
03/05/2016,275.6731375
04/05/2016,275.6340509
05/05/2016,275.8300855
06/05/2016,275.6085185
07/05/2016,275.6911855
08/05/2016,275.879104
09/05/2016,276.1018298
10/05/2016,275.9746119
11/05/2016,276.0763945
12/05/2016,276.1332902
13/05/2016,275.9379399
14/05/2016,275.994158
15/05/2016,276.2410629
